POSITIBOAK EUSKADIKO EREMUETAN (8:00etan) / POSITIVOS EN LAS ZONAS DE SALUD DE EUSKADI (8:00 horas);;;;
1101;Abetxuko;3557;71;1996,064099
1102;Aranbizkarra I;13641;189;1385,52892
1103;Aranbizkarra II;13850;139;1003,610108
1104;San Martín;29720;733;2466,352624
1105;Casco Viejo (Vitoria-Gasteiz);17176;227;1321,611551
1106;La Habana;10002;173;1729,654069
1107;Olaguibel;26312;508;1930,678018
1108;Gazalbide-Txagorritxu;12823;251;1957,42026
1109;Lakua-Arriaga;13568;199;1466,686321
1110;Olarizu;13534;198;1462,982119
1111;Salburua;16172;184;1137,768983
1112;Sansomendi;8540;146;1709,601874
1113;Lakuabizkarra;27297;435;1593,581712
1114;Zabalgana;24238;257;1060,318508
1115;Zaramaga;11665;146;1251,607372
1116;Llanada Alavesa;12975;114;878,6127168
1117;Montaña Alavesa;2654;26;979,6533534
1118;Norte-Legutio;4566;29;635,1292159
1119;Norte-Zuia;6598;44;666,8687481
1120;Valles Alaveses I;5610;32;570,4099822
1121;Valles Alaveses II;2993;21;701,6371534
1201;Rioja Alavesa;11509;125;1086,106525
2101;Abanto-Muskiz;17105;145;847,7053493
2102;Balmaseda;11874;153;1288,52956
2103;Ortuella;8359;44;526,3787534
2104;Portugalete-Castaños;17724;119;671,4060032
2105;Portugalete-Buenavista;13678;133;972,3643808
2106;Portugalete-Repelega;18828;132;701,0834927
2107;Santurtzi-Centro-Mamariga;17545;123;701,0544315
2108;Santurtzi-Kabiezes;25761;261;1013,159427
2109;Sodupe-Güeñes;8251;68;824,1425282
2110;Trapagaran;11878;115;968,1764607
2111;Zalla;11784;140;1188,051595
2201;Kueto;10398;84;807,847663
2202;La Paz;20620;164;795,3443259
2203;Lutxana;6632;97;1462,605549
2204;Markonzaga;17010;108;634,9206349
2205;Rontegi;12516;63;503,3557047
2206;San Vicente;19872;270;1358,695652
2207;Urban;7552;107;1416,84322
2208;Zaballa;12340;101;818,4764992
2209;Zuazo;18461;137;742,1049781
2301;Basurto;21246;177;833,0979949
2302;Begoña;11082;97;875,2932684
2303;Zurbaran;10950;137;1251,141553
2304;Bolueta-Sagarminaga;9670;57;589,4519131
2305;Bombero Etxaniz;39066;338;865,2024779
2306;Casco Viejo (Bilbao);12562;236;1878,681739
2307;Deusto;24820;184;741,3376309
2308;Indautxu;17328;196;1131,117267
2309;Javier Sáenz de Buruaga;14963;92;614,8499632
2310;Miribilla/La Merced;19148;241;1258,617088
2311;La Peña;9772;71;726,5656979
2312;Mina del Morro;10678;71;664,9185241
2313;Otxarkoaga;11077;72;649,9954861
2314;Rekalde;26425;323;1222,327342
2315;San Adrián;10068;122;1211,760032
2316;San Ignacio;23878;219;917,1622414
2317;Karmelo;12231;100;817,5946366
2318;Santutxu-Solokoetxe;14187;118;831,7473744
2319;La Merced/Miribilla;19148;241;1258,617088
2320;Txurdinaga;14569;268;1839,522273
2321;Zorroza- Alonsotegi;14059;97;689,9494985
2322;Gazteleku;21147;170;803,8965338
2401;Alango;17645;166;940,7764239
2402;Algorta;34005;226;664,6081459
2403;Astrabudua;10152;111;1093,380615
2404;Erandio;13901;145;1043,090425
2405;Gorliz-Plentzia;12850;69;536,9649805
2406;Las Arenas;33616;216;642,5511661
2407;Leioa;23280;187;803,2646048
2408;Mungia;26584;122;458,9226602
2409;Sopelana;23887;204;854,0210156
2410;Txorierri;18678;196;1049,362887
2501;Abadiño-Elorrio-Berriz;24558;83;337,9754052
2502;Aiala;19290;212;1099,015034
2503;Amorebieta;18711;149;796,3230185
2504;Arratia;13754;54;392,613058
2505;Arrigorriaga;16312;132;809,220206
2506;Basauri-Kareaga;15670;150;957,2431398
2507;Basauri-Ariz;25227;351;1391,366393
2508;Bermeo;18955;185;975,9957795
2509;Durango;33556;207;616,8792466
